0	1734596.622378499	1021101.3131379936	622862.2586922932	371770.58839702	371813.3411051471	360650.04728343926
5	733961.9267130321	361131.5115037081	269499.1454608445	169442.9289538499	138471.1400234653	106074.09412764401
10	800103.5627466863	396355.65721263044	284133.9519094309	175384.3794426157	140695.8097723375	110170.02455351742
15	855363.0552627274	417198.66086945677	294229.5257537338	176263.40256108687	147382.39778025175	113383.05818974043
20	921336.2869765492	458192.1866549483	306226.3248742137	184694.5770023138	154225.4421155313	118644.74145323804
25	935753.4623243349	416007.59275022324	309828.63531068066	187323.9377797291	158429.86335923182	125094.77977266282
30	994986.2362762708	455152.00593453366	313270.15523470624	192655.39274461486	161867.2093617092	125488.27215075404
35	1033763.275614772	454035.20303604926	318096.06816595607	195799.04562085838	166562.59289667103	134404.2581997541
40	1047705.7233406464	450216.55973370624	321570.9867853766	197050.25087110238	165200.66294166254	131747.81176741925
45	1073478.0551067016	449823.73924096685	310682.32418701897	194099.95986892114	168345.2827095856	135673.17090778967
50	1044293.5442873888	437733.63500053866	313182.9667134162	199178.5183613606	173844.0860069162	135416.71778642054
55	1074102.7802671376	444504.9428167747	310606.26683745405	194022.7947129841	174557.15818102562	142162.27213252094
60	1077516.8736053407	418315.6695450798	311408.8773244188	194822.3182158324	175795.21906679476	138202.30802185176
65	1090439.9047193553	409255.27397305175	311463.8417676251	199562.60289889324	177025.2594782185	142576.07888710056
70	1111440.663734078	405552.8755796344	310192.05838448275	198289.06897730276	177577.52789267869	148694.84803331777
75	1017196.7583752561	383691.07664000895	310942.4862845767	201641.85946790845	182121.98159271438	145810.44237956987
80	1082982.9499131842	387088.5045169046	308612.2135836353	198060.54721702458	175976.15422085952	149601.9648087061
85	1071732.7837076702	368328.87641884136	307511.62503832823	196823.57391003676	183777.8636659928	152600.93192745367
90	1083307.8697463162	316108.30113956786	304470.7794524177	196710.4466833039	182162.30712146842	143937.7279838311
95	1097905.226292972	331992.0357336262	304684.1678381614	203984.36192105123	184564.99430543827	151002.8334323594
100	1008615.9970126692	343398.0942224644	307078.1856383535	202865.69049702058	188965.2370088676	152807.6213741491
