0	2.1017069459146984E7	 1.1807693756283667E7	1.5813542720649565E7
5	2639676.641481335	 4.2546462806738E7	2.611184280288184E7
10	8924505.666870747	 6.67570890321607E7	3.310839099999454E7
15	1.4289853024789635E7	 8.091840554865117E7	9270136.674475353
20	1.6712956880792525E7	 8587487.945063308	3.288920131414654E7
25	2214984.9342753147	 2.5603648694476847E7	5.640422683137681E7
30	7254442.059515516	 4.22568686688375E7	7.241344232824163E7
35	1.1954926343775008E7	 5.110144974657492E7	6495948.658338164
40	1.3603463708869193E7	 6860170.596819473	2.1707624558857463E7
45	1.3021942607991423E7	 1.6658341869292E7	3.0385220189058762E7
50	4.568607029455816E7	 3.0369760741277806E7	4.163551590706576E7
55	6.887503941257921E7	 3.745110808378102E7	5364273.007352469
60	8.965027915684323E7	 1.0388497251374314E7	1.510688522392126E7
65	1.0300106483271852E7	 3.606975818078134E7	2.6648946445401948E7
70	2.831627663258933E7	 5.970304427379982E7	2.7004861677093208E7
75	4.432245185371567E7	 7.835782240156257E7	9242790.324812528
80	5.46040515412308E7	 6958479.695367101	3.1112671040993404E7
85	8252676.261869065	 2.059621820005997E7	5.38645498109339E7
90	1.84778183324368E7	 3.62749605015293E7	7.040578703885305E7
95	2.982820351891955E7	 4.107588164163569E7	6322342.946313007
100	4.037238543748366E7	 5783098.6590537075	2.1284964135533225E7
