0	19179.543819005932	 23130.32279974827	2.321208182840914E7
5	28017.372031619692	 32272.3693639969	3147420.724973957
10	37470.229167111276	 7861.4124869338	1.0993861576148752E7
15	8901.497296965415	 14212.179586876804	1.705341640673005E7
20	16403.539592625057	 21480.482770973664	2.0575380641751193E7
25	25564.315458857844	 29488.389372553145	2801610.6129018264
30	36106.182445107464	 3914267.4546795017	8528767.979310777
35	8835.634480462066	 1.4859664970059881E7	1.3217251158019604E7
40	16080.707847791802	 2.254220982634187E7	1.706589835296192E7
45	25529.952747693074	 2.627671355985684E7	3266501.4882272
50	36603.921401043204	 3439605.7562832357	1.2360021872259948E7
55	8702.690344785908	 1.1247625728864154E7	1.9219394416749753E7
60	16130.714717135086	 2.0020793364393037E7	2.3763921798463535E7
65	24088.972292107686	 2.074831344518877E7	2888388.4725359515
70	32446.7620214736	 3070650.714537584	9560380.82182249
75	7992.4946122835945	 9090796.294653745	1.6225930636787355E7
80	14737.273216587628	 1.457681273327151E7	1.8423752398595355E7
85	22879.51574897109	 1.7374452540510006E7	2581292.9279696224
90	32924.8508529114	 3625297.7453948325	8004232.117908822
95	7963.013697946231	 1.3851992867126554E7	1.3160468229040142E7
100	15111.283763434523	 2.1364951871576335E7	1.6107074493333925E7
